tok	lemma	head	modifier	trancription_name	L1	type
Videospiele	Videospiel	Spiel	Video	dcs001_2007_10	deu	compound
Haftstrafen	Haftstrafe	Strafe	Haft	dcs001_2007_10	deu	compound
Volksmund	Volksmund	Mund	Volks	dcs001_2007_10	deu	compound
TV-Shows	TV-Show	Show	TV-	dcs001_2007_10	deu	compound
Kleinkriminelle	Kleinkriminelle	Kriminelle	Klein	dcs001_2007_10	deu	compound
Extrembeispiele	Extrembeispiel	Beispiel	Extrem	dcs001_2007_10	deu	compound
Verkehrsunfälle	Verkehrsunfall	Unfall	Verkehrs	dcs001_2007_10	deu	compound
Feststellung	Feststellung	Stellung	Fest	dcs001_2007_10	deu	compound
Gegenbeweise	Gegenbeweis	Beweis	Gegen	dcs001_2007_10	deu	compound
Personen	Person	Person	NULL	dcs001_2007_10	deu	simplex
Ansicht	Ansicht	Ansicht	NULL	dcs001_2007_10	deu	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	dcs001_2007_10	deu	simplex
Gegenteil	Gegenteil	Gegenteil	NULL	dcs001_2007_10	deu	simplex
Thema	Thema	Thema	NULL	dcs001_2007_10	deu	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	dcs001_2007_10	deu	simplex
Personen	Person	Person	NULL	dcs001_2007_10	deu	simplex
Basis	Basis	Basis	NULL	dcs001_2007_10	deu	simplex
Geld	Geld	Geld	NULL	dcs001_2007_10	deu	simplex
Laufbahn	Laufbahn	Laufbahn	NULL	dcs001_2007_10	deu	simplex
Krimineller	Kriminelle	Kriminelle	NULL	dcs001_2007_10	deu	simplex
Wahl	Wahl	Wahl	NULL	dcs001_2007_10	deu	simplex
Gebieten	Gebiet	Gebiet	NULL	dcs001_2007_10	deu	simplex
Beispiel)oder	Beispieloder	Beispieloder	NULL	dcs001_2007_10	deu	simplex
Gefahr	Gefahr	Gefahr	NULL	dcs001_2007_10	deu	simplex
Richtung	Richtung	Richtung	NULL	dcs001_2007_10	deu	simplex
Frage	Frage	Frage	NULL	dcs001_2007_10	deu	simplex
Kriminell	Kriminell	Kriminell	NULL	dcs001_2007_10	deu	simplex
Ursachen	Ursache	Ursache	NULL	dcs001_2007_10	deu	simplex
Problem	Problem	Problem	NULL	dcs001_2007_10	deu	simplex
Beispiel	Beispiel	Beispiel	NULL	dcs001_2007_10	deu	simplex
Filme	Film	Film	NULL	dcs001_2007_10	deu	simplex
Personen	Person	Person	NULL	dcs001_2007_10	deu	simplex
Bild	Bild	Bild	NULL	dcs001_2007_10	deu	simplex
Anziehend	Anziehend	Anziehend	NULL	dcs001_2007_10	deu	simplex
Betrachter	Betrachter	Betrachter	NULL	dcs001_2007_10	deu	simplex
Schuld	Schuld	Schuld	NULL	dcs001_2007_10	deu	simplex
Eltern	Eltern	Eltern	NULL	dcs001_2007_10	deu	simplex
Kinder	Kind	Kind	NULL	dcs001_2007_10	deu	simplex
Geld	Geld	Geld	NULL	dcs001_2007_10	deu	simplex
Möglichkeit	Möglichkeit	Möglichkeit	NULL	dcs001_2007_10	deu	simplex
Mühe	Mühe	Mühe	NULL	dcs001_2007_10	deu	simplex
Zeit	Zeit	Zeit	NULL	dcs001_2007_10	deu	simplex
Leben	Leben	Leben	NULL	dcs001_2007_10	deu	simplex
Prestige	Prestige	Prestige	NULL	dcs001_2007_10	deu	simplex
Ruhe	Ruhe	Ruhe	NULL	dcs001_2007_10	deu	simplex
Gegenteil	Gegenteil	Gegenteil	NULL	dcs001_2007_10	deu	simplex
Fall	Fall	Fall	NULL	dcs001_2007_10	deu	simplex
Kriminelle	Kriminelle	Kriminelle	NULL	dcs001_2007_10	deu	simplex
Angst	Angst	Angst	NULL	dcs001_2007_10	deu	simplex
Rechenschaft	Rechenschaft	Rechenschaft	NULL	dcs001_2007_10	deu	simplex
Kriminelle	Kriminelle	Kriminelle	NULL	dcs001_2007_10	deu	simplex
Delikt	Delikt	Delikt	NULL	dcs001_2007_10	deu	simplex
Gefängnis	Gefängnis	Gefängnis	NULL	dcs001_2007_10	deu	simplex
Tat	Tat	Tat	NULL	dcs001_2007_10	deu	simplex
Jahre	Jahr	Jahr	NULL	dcs001_2007_10	deu	simplex
Gittern	Gittern	Gitter	NULL	dcs001_2007_10	deu	simplex
Leute	Leute	Leute	NULL	dcs001_2007_10	deu	simplex
Prestige	Prestige	Prestige	NULL	dcs001_2007_10	deu	simplex
Freunde	Freund	Freund	NULL	dcs001_2007_10	deu	simplex
Geld	Geld	Geld	NULL	dcs001_2007_10	deu	simplex
Verbrecher	Verbrecher	Verbrecher	NULL	dcs001_2007_10	deu	simplex
Delikte/	Delikte	Delikte	NULL	dcs001_2007_10	deu	simplex
Krimineller	Kriminelle	Kriminelle	NULL	dcs001_2007_10	deu	simplex
Taten	Tat	Tat	NULL	dcs001_2007_10	deu	simplex
Taten	Tat	Tat	NULL	dcs001_2007_10	deu	simplex
Machenschaften	Machenschaft	Machenschaft	NULL	dcs001_2007_10	deu	simplex
Geld	Geld	Geld	NULL	dcs001_2007_10	deu	simplex
Situation	Situation	Situation	NULL	dcs001_2007_10	deu	simplex
Verbrecher	Verbrecher	Verbrecher	NULL	dcs001_2007_10	deu	simplex
Verhältis	Verhältis	Verhältis	NULL	dcs001_2007_10	deu	simplex
Bürgern	Bürger	Bürger	NULL	dcs001_2007_10	deu	simplex
Freunde	Freund	Freund	NULL	dcs001_2007_10	deu	simplex
Dieb	Dieb	Dieb	NULL	dcs001_2007_10	deu	simplex
Kriminell	Kriminell	Kriminell	NULL	dcs001_2007_10	deu	simplex
Folgen	Folge	Folge	NULL	dcs001_2007_10	deu	simplex
Land	Land	Land	NULL	dcs001_2007_10	deu	simplex
Staat	Staat	Staat	NULL	dcs001_2007_10	deu	simplex
Macht	Macht	Macht	NULL	dcs001_2007_10	deu	simplex
