tok	lemma	head	modifier	trancription_name	L1	type
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Wirschaftsuniversität	Wirschaftsuniversität	Universität	Wirschafts	cbs001_2006_09	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Wirtschaftleben	Wirtschaftleben	Leben	Wirtschaft	cbs001_2006_09	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Wirtschaftsleben	Wirtschaftsleben	Leben	Wirtschafts	cbs001_2006_09	dan	compound
Wirtschaftsuniversität	Wirtschaftsuniversität	Universität	Wirtschafts	cbs001_2006_09	dan	compound
Hochschulsolventen	Hochschulsolventen	Ente	Hochschulsolv	cbs001_2006_09	dan	compound
Unternehmensphilosophie	Unternehmensphilosophie	Philosophie	Unternehmens	cbs001_2006_09	dan	compound
Kundenkenntnisse	Kundenkenntnisse	Nisse	Kundenkennt	cbs001_2006_09	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs001_2006_09	dan	compound
Studiejob	Studiejob	Job	Studie	cbs001_2006_09	dan	compound
Studenten	Student	Student	NULL	cbs001_2006_09	dan	simplex
Welt	Welt	Welt	NULL	cbs001_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs001_2006_09	dan	simplex
Meinung	Meinung	Meinung	NULL	cbs001_2006_09	dan	simplex
Aussage	Aussage	Aussage	NULL	cbs001_2006_09	dan	simplex
Grade	Grad	Grad	NULL	cbs001_2006_09	dan	simplex
Dämemark	Dämemark	Dämemark	NULL	cbs001_2006_09	dan	simplex
Pflict	Pflict	Pflict	NULL	cbs001_2006_09	dan	simplex
Studenten	Student	Student	NULL	cbs001_2006_09	dan	simplex
Kopenhagener	Kopenhagener	Kopenhagener	NULL	cbs001_2006_09	dan	simplex
Praktikum	Praktikum	Praktikum	NULL	cbs001_2006_09	dan	simplex
Grade	Grad	Grad	NULL	cbs001_2006_09	dan	simplex
Studenten	Student	Student	NULL	cbs001_2006_09	dan	simplex
Student	Student	Student	NULL	cbs001_2006_09	dan	simplex
Job	Job	Job	NULL	cbs001_2006_09	dan	simplex
Forscher	Forscher	Forscher	NULL	cbs001_2006_09	dan	simplex
Zugang	Zugang	Zugang	NULL	cbs001_2006_09	dan	simplex
Nutzen	Nutzen	Nutzen	NULL	cbs001_2006_09	dan	simplex
Gebiet	Gebiet	Gebiet	NULL	cbs001_2006_09	dan	simplex
Tiefe	Tiefe	Tiefe	NULL	cbs001_2006_09	dan	simplex
Zugang	Zugang	Zugang	NULL	cbs001_2006_09	dan	simplex
Werkzeug	Werkzeug	Werkzeug	NULL	cbs001_2006_09	dan	simplex
Bezug	Bezug	Bezug	NULL	cbs001_2006_09	dan	simplex
Verwendung	Verwendung	Verwendung	NULL	cbs001_2006_09	dan	simplex
Ausbildungen	Ausbildung	Ausbildung	NULL	cbs001_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs001_2006_09	dan	simplex
Welt	Welt	Welt	NULL	cbs001_2006_09	dan	simplex
Studierenden	Studierende	Studierende	NULL	cbs001_2006_09	dan	simplex
Meinung	Meinung	Meinung	NULL	cbs001_2006_09	dan	simplex
Erfahrungen	Erfahrung	Erfahrung	NULL	cbs001_2006_09	dan	simplex
Job	Job	Job	NULL	cbs001_2006_09	dan	simplex
Verständnis	Verständnis	Verständnis	NULL	cbs001_2006_09	dan	simplex
Theorien	Theorie	Theorie	NULL	cbs001_2006_09	dan	simplex
Marketing	Marketing	Marketing	NULL	cbs001_2006_09	dan	simplex
Theorien	Theorie	Theorie	NULL	cbs001_2006_09	dan	simplex
Theoretikern	Theoretiker	Theoretiker	NULL	cbs001_2006_09	dan	simplex
Kottler	Kottler	Kottler	NULL	cbs001_2006_09	dan	simplex
Mann	Mann	Mann	NULL	cbs001_2006_09	dan	simplex
Theorien	Theorie	Theorie	NULL	cbs001_2006_09	dan	simplex
Klausuren	Klausur	Klausur	NULL	cbs001_2006_09	dan	simplex
Praxis	Praxis	Praxis	NULL	cbs001_2006_09	dan	simplex
Aufgaban	Aufgaban	Aufgaban	NULL	cbs001_2006_09	dan	simplex
Firma	Firma	Firma	NULL	cbs001_2006_09	dan	simplex
Kommunikation	Kommunikation	Kommunikation	NULL	cbs001_2006_09	dan	simplex
Strategien	Strategie	Strategie	NULL	cbs001_2006_09	dan	simplex
Bereichen	Bereich	Bereich	NULL	cbs001_2006_09	dan	simplex
Praktische	Praktische	Praktische	NULL	cbs001_2006_09	dan	simplex
Erfahrungen	Erfahrung	Erfahrung	NULL	cbs001_2006_09	dan	simplex
Welt	Welt	Welt	NULL	cbs001_2006_09	dan	simplex
Grundlagen	Grundlage	Grundlage	NULL	cbs001_2006_09	dan	simplex
Studiums	Studium	Studium	NULL	cbs001_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs001_2006_09	dan	simplex
Kompetenz	Kompetenz	Kompetenz	NULL	cbs001_2006_09	dan	simplex
Praktikum	Praktikum	Praktikum	NULL	cbs001_2006_09	dan	simplex
Parallelle	Parallelle	Elle	Parall	cbs001_2007_10	dan	compound
Umweltsschutz	Umweltsschutz	Schutz	Umwelts	cbs001_2007_10	dan	compound
Gummibooten	Gummibooten	Boot	Gummi	cbs001_2007_10	dan	compound
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Interessen	Interesse	Interesse	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Interessen	Interesse	Interesse	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Mitglieder	Mitglied	Mitglied	NULL	cbs001_2007_10	dan	simplex
Bewegungen	Bewegung	Bewegung	NULL	cbs001_2007_10	dan	simplex
Äusserlichkeiten	Äußerlichkeit	Äußerlichkeit	NULL	cbs001_2007_10	dan	simplex
Vorhaben	Vorhaben	Vorhaben	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Methoden	Methode	Methode	NULL	cbs001_2007_10	dan	simplex
Licht	Licht	Licht	NULL	cbs001_2007_10	dan	simplex
Glaubwürdigkeit	Glaubwürdigkeit	Glaubwürdigkeit	NULL	cbs001_2007_10	dan	simplex
Verrückte	Verrückte	Verrückte	NULL	cbs001_2007_10	dan	simplex
Bewegungen	Bewegung	Bewegung	NULL	cbs001_2007_10	dan	simplex
Gruppen	Gruppe	Gruppe	NULL	cbs001_2007_10	dan	simplex
Mitglieder	Mitglied	Mitglied	NULL	cbs001_2007_10	dan	simplex
Tanker	Tanker	Tanker	NULL	cbs001_2007_10	dan	simplex
Eingriffe	Eingriff	Eingriff	NULL	cbs001_2007_10	dan	simplex
Ergebnis	Ergebnis	Ergebnis	NULL	cbs001_2007_10	dan	simplex
Politikern	Politiker	Politiker	NULL	cbs001_2007_10	dan	simplex
Öffentlichkeit	Öffentlichkeit	Öffentlichkeit	NULL	cbs001_2007_10	dan	simplex
Aktionen	Aktion	Aktion	NULL	cbs001_2007_10	dan	simplex
Aufmerksamkeit	Aufmerksamkeit	Aufmerksamkeit	NULL	cbs001_2007_10	dan	simplex
Ergebnis	Ergebnis	Ergebnis	NULL	cbs001_2007_10	dan	simplex
Menschen	Mensch	Mensch	NULL	cbs001_2007_10	dan	simplex
Nachdenken	Nachdenken	Nachdenken	NULL	cbs001_2007_10	dan	simplex
Wichtigkeit	Wichtigkeit	Wichtigkeit	NULL	cbs001_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs001_2007_10	dan	simplex
Thema	Thema	Thema	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Interessen	Interesse	Interesse	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs001_2007_10	dan	simplex
Worte	Wort	Wort	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Aktionen	Aktion	Aktion	NULL	cbs001_2007_10	dan	simplex
Äusserungen	Äußerung	Äußerung	NULL	cbs001_2007_10	dan	simplex
Aufmerksamkeit	Aufmerksamkeit	Aufmerksamkeit	NULL	cbs001_2007_10	dan	simplex
Gesellschaft	Gesellschaft	Gesellschaft	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs001_2007_10	dan	simplex
Namen	Name	Name	NULL	cbs001_2007_10	dan	simplex
Welt	Welt	Welt	NULL	cbs001_2007_10	dan	simplex
Selbstständigkeit	Selbständigkeit	Selbständigkeit	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Methoden	Methode	Methode	NULL	cbs001_2007_10	dan	simplex
Brauch	Brauch	Brauch	NULL	cbs001_2007_10	dan	simplex
Aufmerksamkeit	Aufmerksamkeit	Aufmerksamkeit	NULL	cbs001_2007_10	dan	simplex
Ganzen	Ganze	Ganze	NULL	cbs001_2007_10	dan	simplex
Feminismus	Feminismus	Feminismus	NULL	cbs001_2007_10	dan	simplex
Meinung	Meinung	Meinung	NULL	cbs001_2007_10	dan	simplex
Interessen	Interesse	Interesse	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Frau	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Gleichberechtigung	Gleichberechtigung	Gleichberechtigung	NULL	cbs001_2007_10	dan	simplex
Zukunft	Zukunft	Zukunft	NULL	cbs001_2007_10	dan	simplex
Frauen	Frau	Frau	NULL	cbs001_2007_10	dan	simplex
Rechte	Rechte	Rechte	NULL	cbs001_2007_10	dan	simplex
Klaren	Klare	Klare	NULL	cbs001_2007_10	dan	simplex
Jahren	Jahr	Jahr	NULL	cbs001_2007_10	dan	simplex
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs002_2006_09	dan	compound
Reiseversicherung	Reiseversicherung	Versicherung	Reise	cbs002_2006_09	dan	compound
