ID	referent	infstat	topic	infstat_fine
1	Die_Jugendlichen	new	ab	new
2	Zossen	new	ab	new
3	ein_Musikcafé	new	nt	new
4	Das	giv	nt	giv-active
5	sie	giv	ab	giv-active
6	der_ersten_Zossener_Runde	new	fs	new
7	die_Politiker	new	ab	new
8	der_Stadt	giv	ab	giv-active
9	dafür	giv	nt	giv-active
10	dem_Treffen	giv	fs	giv-active
11	Rathaus	acc	fs	acc-gen
12	ein_Dialog	acc	nt	acc-inf
13	den_Generationen	acc	nt	acc-inf
14	die_beiden_geladenen_Jugendlichen	giv	ab	giv-active
15	des_Abends	giv	fs	giv-inactive
16	keine_böse_Absicht	idiom	nt	idiom
17	Es	idiom	nt	idiom
18	der_Komik	idiom	nt	idiom
19	drei_Erwachsene	giv	ab	giv-inactive
20	Karola_Andrae	acc	ab	acc-gen
21	(_Bürgerbündnis/FDP_)	acc	ab	acc-gen
22	Susanne_Michler	acc	ab	acc-gen
23	(_CDU_)	acc	ab	acc-gen
24	Joachim_Zanow	acc	ab	acc-gen
25	(_SPD_)	acc	ab	acc-gen
26	Jugendliche	giv	nt	giv-inactive
27	sie	giv	nt	giv-active
28	sie	giv	ab	giv-active
29	ihnen	giv	nt	giv-active
30	Die_Jugendlichen	giv	ab	giv-active
31	bloßen_Feigenblatt	idiom	nt	idiom
32	ihnen	giv	nt	giv-active
33	die_Politiker	giv	ab	giv-active
34	der_nächsten_Runde	giv	fs	giv-inactive
35	mehr_Jugendliche	acc	nt	acc-inf
36	der_Gruppe	acc	nt	acc-inf
37	sie	giv	ab	giv-active
38	mehr_Gehör	idiom	nt	idiom
39	Vertreter	acc	ab	acc-inf
40	PDS	acc	ab	acc-gen
41	Gewerbeverein	acc	ab	acc-gen
42	Rathaus	giv	nt	giv-inactive
43	Die	giv	ab	giv-active
44	Abwesenheit	idiom	nt	idiom
45	Berlin	acc	fs	acc-gen
46	die_rot-roten_Verhandlungspartner	acc	ab	acc-gen
47	eine_wichtige_Regel	new	nt	new
48	Koalitionsrunden	acc	nt	acc-inf
49	die_"_heißen_Eisen_"	idiom	nt	idiom
50	Olympia	acc	ab	acc-gen
51	ein_"_heißes_Eisen_"	idiom	nt	idiom
52	das_andere	giv	nt	giv-active
53	der_Ausbau_Schönefelds	new	ab	new
54	eine_Olympiabewerbung	new	ab	new
55	die_desolate_Haushaltslage	new	ab	new
56	das_Flughafen-Votum	giv	ab	giv-active
57	ein_Streitthema	giv	ab	giv-active
58	Tisch	idiom	nt	idiom
59	die_PDS	acc	ab	acc-inf
60	des_Beschlusses	giv	nt	giv-active
61	Die_Verhandlungspartner	giv	ab	giv-inactive
62	eine_geschickte_,_weil_weit_interpretierbare_Formel	new	nt	new
63	der	giv	nt	giv-active
64	sie	giv	nt	giv-active
65	das_Planfeststellungsverfahren	acc	ab	acc-inf
66	die_PDS	giv	ab	giv-inactive
67	die_Bedenken	new	ab	new
68	die_Privatisierung	new	nt	new
69	der_Flughafengesellschaft	new	nt	new
70	den_Sternen	idiom	nt	idiom
71	Die_einstige_Fußball-Weltmacht	new	ab	new
72	vor_einem_Winzling	new	nt	new
73	seinem_Tor	new	fs	new
74	die_Ukraine	acc	fs	acc-gen
75	der_1,62_Meter_große_Gennadi_Subow	giv	ab	giv-active
76	die_deutsche_Nationalelf	acc	nt	acc-gen
77	den_tapfer_kämpfenden_Gästen	giv	fs	giv-active
78	der_Ausgleich	acc	fs	acc-inf
79	der_wie_eine_Mumie_auf_der_Bank_sitzende_ukrainische_Coach	acc	nt	acc-inf
80	zwei_ähnliche_Leichtgewichte	acc	nt	acc-inf
81	zweiten_Spiel	acc	nt	acc-gen
82	die_drei_Knirpse	giv	fs	giv-inactive
83	Anbeginn	acc	fs	acc-inf
84	der_um_Ehre_und_Reputation_kämpfenden_Mannschaft	giv	ab	giv-inactive
85	Rudi_Völler	new	ab	new
86	Weltmeisterschaft	acc	nt	acc-gen
87	die_Kicker	acc	nt	acc-gen
88	der_Gegner	giv	nt	giv-active
89	Die_Fußball-Kleinmacht	giv	ab	giv-inactive
90	Dnepr	acc	ab	acc-gen
91	das_scheinbar_mit_einem_Dauerabonnement_für_die_WM_ausgestattete_Team	giv	nt	giv-inactive
92	der_schwarz-weißen_Kluft	acc	nt	acc-inf
93	eine_ganze_Nation	acc	nt	acc-gen
94	das_Tal_der_Tränen	idiom	nt	idiom
95	die_deutschen_Nationalkicker	giv	ab	giv-active
96	einen_"_Rudi_Riese_"	giv	nt	giv-inactive
97	der_Bank	acc	nt	acc-gen
98	einen_Franz_Beckenbauer	acc	nt	acc-gen
99	heißem_Draht	idiom	nt	idiom
100	Fußballgott	idiom	nt	idiom
101	euch	acc	nt	acc-sit
102	die_im_Rahmen_der_Dorferneuerung_neu_gestaltete_Radeweger_Ablage	new	ab	new
103	Seebrücke	acc	ab	acc-inf
104	viel_Pomp	idiom	nt	idiom
105	die_Infrastruktur	new	nt	new
106	den_Wassertourismus	new	nt	new
107	nächsten_Steg	idiom	nt	idiom
108	Sanitäre_Anlagen	acc	ab	acc-inf
109	großer_Liegeplätze	acc	nt	acc-inf
